"","...1","...2","study ID","first author","study design","publication date","primary series vaccine","historyofCOVID","dose_number","dose","timing_of_dose_days","outcome_detail","outcome_category","country","population_detail","population_category","VE","LCL","UCL","variant_sequenced","variant_context","max duration follow-up","dose interval","notes","country_clean","iso3c","Study_id_f","Country.Code","GNI_per_c_WB","year_GNI","Economy","Region","Income group","q_GNI_per_c_WB","continent","owid_vac_intro","owid_vac_F40","owid_vac_F70","who_vac_intro","min_vac_intro","diff_owid_who_intro","diff_min_vac_intro_1Dec2020","diff_intro_F40","diff_intro_F70","diff_min_vac_intro_1Dec2020_clean","V1_group","V40_group","V1_dummie","V40_dummie","V70_dummie","publication_date","outcome_final","semester","clean_vaccine","vac_type","variant_clean","include_population","inclusion_notes","max_follow_up_days","n_estimates","min_period_days","max_period_days","include","justification","sensitivity","VE1","LCL.1","UCL.1","RR","RR.LCL","RR.UCL","ln.RR","SE.ln.RR"
"119",204,204,310,"Penayo","Test-negative case-control","01Jun2022","mRNA-1273 (Moderna)","included",2,"final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",42.1,-105.4,83.7,NA,"omicron","~52 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","01/06/2022","severe","2022 (Jan-Jun)","Moderna mRNA-1273","mRNA","omicron","yes",NA,364,1,14,364,"yes",NA,0,42.1,NA,83.7,0.579,0.163,NA,-0.546452801409142,0.646710345288895
"120",205,205,324,"Link-Gelles","Test-negative case-control","05Oct2022","mRNA-1273 (Moderna)","included",2,"final","150+","hospitalization","severe","USA",">=18 years","general pop",28,17,38,NA,"omicron BA.4 or BA.5","~82 weeks",NA,NA,"USA","USA",324,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","05/10/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,574,1,150,574,"yes",NA,0,28,17,38,0.72,0.62,0.83,-0.328504066972036,0.0744148527427312
"121",206,206,326,"Lin","Retrospective cohort","26Sep2022","mRNA-1273 (Moderna)","included",2,"final","~46 weeks","hospitalization","severe","USA",">=5 years","general pop",64.7,57.2,70.9,NA,"omicron","~46 weeks",NA,"Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021","USA","USA",326,"USA",66120,2019,"United States","North America","High income",4,"North America","13/12/2020","14/05/2021",NA,"14/12/2020","13/12/2020",-1,12,152,NA,12,"<30","<180","yes","yes","no","26/09/2022","severe","2022 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,322,2,NA,322,"yes",NA,0,64.7,57.2,70.9,0.353,0.291,0.428,-1.04128722204884,0.0984183490842613
"122",208,208,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","mRNA-1273 (Moderna)","excluded",2,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",95,54,99,NA,"omicron BA.1","~25 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","Moderna mRNA-1273","mRNA","omicron","yes",NA,175,1,14,175,"yes",NA,0,95,54,99,0.05,0.01,0.46,-2.99573227355399,0.976694233798238
"123",211,211,203,"Baum","Retrospective cohort","05Nov2022","AZD1222 (AstraZeneca)","excluded",2,"final","91-180","hospitalization","severe","Finland",">= 70 years",">= 70 years",37,-154,85,NA,"omicron",NA,NA,NA,"Finland","FIN",203,"FIN",52070,2019,"Finland","Europe & Central Asia","High income",4,"Europe","17/01/2021","15/08/2021","31/10/2021","23/12/2020","23/12/2020",25,22,235,312,22,"<30","180-269","yes","yes","yes","05/11/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,NA,2,91,180,"yes",NA,1,37,NA,85,0.63,0.15,NA,-0.462035459596559,0.732185982290471
"124",213,213,210,"Stowe","Test-negative case-control","30Sep2022","AZD1222 (AstraZeneca)","included",2,"final","14-174","hospitalization with ARI","severe","UK","18-64 years","18-64 years",59,31.9,75.3,NA,"omicron","~43 weeks",NA,NA,"UK","GBR",210,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","30/09/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,301,4,14,174,"yes",NA,0,59,31.9,75.3,0.41,0.247,0.681,-0.891598119283784,0.258717849367739
"125",215,215,210,"Stowe","Test-negative case-control","30Sep2022","AZD1222 (AstraZeneca)","included",2,"final","14-174","hospitalization with ARI","severe","UK",">= 65 years",">= 65 years",71.2,50,83.4,NA,"omicron","~43 weeks",NA,NA,"UK","GBR",210,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","30/09/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,301,4,14,174,"yes",NA,1,71.2,50,83.4,0.288,0.166,0.5,-1.24479479884619,0.281280691343278
"126",217,217,240,"Cerqueira-Silva","Test-negative case-control","11Jan2023","AZD1222 (AstraZeneca)","included",2,"final","14-59","severe disease","severe","Brazil",">= 18 years","general pop",77.1,72.9,80.6,NA,"omicron","~7 weeks",NA,NA,"Brazil","BRA",240,"BRA",14890,2019,"Brazil","Latin America & Caribbean","Upper middle income",3,"South America","19/01/2021","24/09/2021","05/02/2022","17/01/2021","17/01/2021",2,47,250,384,47,"30-59","180-269","yes","yes","yes","11/01/2023","severe","2023 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,49,2,14,59,"yes",NA,0,77.1,72.9,80.6,0.229,0.194,0.271,-1.4740332754279,0.0852705769939725
"127",219,219,247,"Kirsebom","Test-negative case-control","12Dec2022","AZD1222 (AstraZeneca)","included",2,"final","175+","hospitalization","severe","UK",">= 65 years",">= 65 years",61,49.8,69.7,"omicron","omicron","~44.5 weeks",NA,NA,"UK","GBR",247,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","12/12/2022","severe","2022 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,311.5,1,175,311.5,"yes",NA,1,61,49.8,69.7,0.39,0.303,0.502,-0.941608539858445,0.128792682189378
"128",220,220,310,"Penayo","Test-negative case-control","01Jun2022","AZD1222 (AstraZeneca)","included",2,"final","14+","hospitalization with SARI","severe","Paraguay",">=18 years","general pop",10.1,-31,38.3,NA,"omicron","~48 weeks",NA,NA,"Paraguay","PRY",310,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","01/06/2022","severe","2022 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,336,1,14,336,"yes",NA,0,10.1,-31,38.3,0.899,0.617,1.44927536231884,-0.106472244510517,0.217844371547852
"129",221,221,396,"Park","Retrospective cohort","15May2023","AZD1222 (AstraZeneca)","included",2,"final","14+","critical infection","severe","South Korea",">=60 years",">=60 years",72,70,74,NA,"omicron BA.1, BA.2, BA.4/BA.5","~80 weeks",NA,NA,"South Korea","KOR",396,"KOR",43780,2019,"Korea, Rep.","East Asia & Pacific","High income",4,"Asia","26/02/2021","15/09/2021","25/10/2021","26/02/2021","26/02/2021",0,87,201,241,87,"60-89","180-269","yes","yes","yes","15/05/2023","severe","2023 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,560,1,14,560,"yes",NA,1,72,70,74,0.28,0.26,0.3,-1.27296567581289,0.0365053172552738
"130",222,222,418,"Paternina-Caicedo","Test-negative case-control","09Sep2023","AZD1222 (AstraZeneca)","excluded",2,"final","14+","hospitalization","severe","Colombia",">=5 years","general pop",10,-78,55,NA,"omicron BA.1","~43 weeks",NA,NA,"Colombia","COL",418,"COL",15530,2019,"Colombia","Latin America & Caribbean","Upper middle income",3,"South America","18/02/2021","26/10/2021","29/07/2022","17/02/2021","17/02/2021",1,78,251,527,78,"60-89","180-269","yes","yes","no","09/09/2023","severe","2023 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,301,1,14,301,"yes",NA,0,10,-78,55,0.9,0.45,4.54545454545455,-0.105360515657826,0.58995801756315
"131",223,223,420,"Irala","Test-negative case-control","15Sep2023","AZD1222 (AstraZeneca)","included",2,"final","14+","hospitalization due to SARI","severe","Paraguay",">=5 years","general pop",10,-31.3,38.2,NA,"omicron BA.1","~52 weeks",NA,NA,"Paraguay","PRY",420,"PRY",13770,2019,"Paraguay","Latin America & Caribbean","Upper middle income",2,"South America","23/02/2021","10/12/2021",NA,"22/02/2021","22/02/2021",1,83,291,NA,83,"60-89","270-359","yes","yes","no","15/09/2023","severe","2023 (Jul-Dec)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,364,1,14,364,"yes",NA,0,10,-31.3,38.2,0.9,0.618,1.45560407569141,-0.105360515657826,0.218542808235774
"132",224,224,240,"Cerqueira-Silva","Test-negative case-control","11Jan2023","AZD1222 (AstraZeneca)","included",2,"final","60-149","severe disease","severe","Scotland",">= 18 years","general pop",78.8,31.8,93.4,NA,"omicron","~19 weeks",NA,NA,"UK","GBR",500,"GBR",49370,2019,"United Kingdom","Europe & Central Asia","High income",4,"Europe","10/01/2021","04/06/2021","23/12/2021","21/12/2020","21/12/2020",20,20,165,367,20,"<30","<180","yes","yes","yes","11/01/2023","severe","2023 (Jan-Jun)","Oxford/AstraZeneca ChAdOx1-S","Vectored","omicron","yes",NA,133,2,60,149,"yes",NA,0,78.8,31.8,93.4,0.212,0.0659999999999999,0.682,-1.55116900431012,0.595758907096183
