,study ID,first author,study design,publication date,primary series vaccine,historyofCOVID,dose_number,dose,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,country_clean,iso3c,Study_id_f,Country.Code,GNI_per_c_WB,year_GNI,Economy,Region,Income group,q_GNI_per_c_WB,continent,owid_vac_intro,owid_vac_F40,owid_vac_F70,who_vac_intro,min_vac_intro,diff_owid_who_intro,diff_min_vac_intro_8Dec2020,diff_intro_F40,diff_intro_F70,diff_min_vac_intro_8Dec2020_clean,V1_date_group,V1_group,V40_date_group,V40_group,V1_dummy,V40_dummy,V70_dummy,publication_date,outcome_final,semester,clean_vaccine,vac_type,variant_clean,include_population,inclusion_notes,max_follow_up_days,n_estimates,min_period_days,max_period_days,include,justification,sensitivity
135,215,Hansen,Retrospective cohort,30-Mar-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-30,hospitalization,severe,Denmark,>= 12 years,general pop,50.5,33.9,63,NA,omicron,~2 weeks,NA,NA,Denmark,DNK,215,DNK,63020,2019,Denmark,Europe & Central Asia,High income,4,Europe,01/01/2021,16/07/2021,03/09/2021,16/12/2020,16/12/2020,16,8,212,261,8,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,30/03/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,14,2,14,30,yes,NA,0
136,215,Hansen,Retrospective cohort,30-Mar-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,121+,hospitalization,severe,Denmark,>= 12 years,general pop,51.6,47.2,55.6,NA,omicron,~30 weeks,NA,NA,Denmark,DNK,215,DNK,63020,2019,Denmark,Europe & Central Asia,High income,4,Europe,01/01/2021,16/07/2021,03/09/2021,16/12/2020,16/12/2020,16,8,212,261,8,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,30/03/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,210,2,121,210,no,sequential period,0
137,230,Plumb,Test-negative case-control,12-Apr-22,BNT162b2 (Pfizer BioNTech),included,2,final,14+,hospitalization,severe,USA,hospitalized adults,general pop,37.3,25.8,46.9,NA,omicron,~55 weeks,NA,NA,USA,USA,230,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,12/04/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,385,1,14,385,yes,NA,0
138,240,Cerqueira-Silva,Test-negative case-control,11-Jan-23,BNT162b2 (Pfizer BioNTech),included,2,final,14-59,severe disease,severe,Brazil,>= 18 years,general pop,82.9,80.6,85,NA,omicron,~7 weeks,NA,NA,Brazil,BRA,240,BRA,9410,2019,Brazil,Latin America & Caribbean,Upper middle income,3,South America,19/01/2021,24/09/2021,05/02/2022,17/01/2021,17/01/2021,2,40,250,384,40,Jan-21,30-59,Sep-Nov/2021,180-269,yes,yes,yes,11/01/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,49,2,14,59,yes,NA,0
139,240,Cerqueira-Silva,Test-negative case-control,11-Jan-23,BNT162b2 (Pfizer BioNTech),included,2,final,150+,severe disease,severe,Brazil,>= 18 years,general pop,82.6,80.7,84.3,NA,omicron,~33 weeks,NA,NA,Brazil,BRA,240,BRA,9410,2019,Brazil,Latin America & Caribbean,Upper middle income,3,South America,19/01/2021,24/09/2021,05/02/2022,17/01/2021,17/01/2021,2,40,250,384,40,Jan-21,30-59,Sep-Nov/2021,180-269,yes,yes,yes,11/01/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,231,2,150,231,no,sequential period,0
140,244,Sharma,Matched case-control,27-Apr-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization,severe,USA,veterans,veterans,52.9,47.8,57.6,NA,omicron,~42 weeks,NA,NA,USA,USA,244,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,27/04/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,294,1,14,294,yes,NA,0
141,272,Adams,Prospective test-negative case control,11-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,14+,hospitalization,severe,USA,>= 18 years,general pop,36,21,48,"omicron BA.1, BA.2, BA.5","omicron BA.1, BA.2, BA.5",~72 weeks,NA,NA,USA,USA,272,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,11/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,504,1,14,504,yes,NA,0
142,278,Tartof,Test-negative case-control,07-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,<6 months,hospitalization,severe,USA,>= 18 years,general pop,54,38,65,omicron BA.1,omicron BA.1,~70 weeks,NA,NA,USA,USA,278,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,07/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,490,4,NA,180,yes,NA,0
143,278,Tartof,Test-negative case-control,07-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,>=6 months,hospitalization,severe,USA,>= 18 years,general pop,32,16,45,omicron BA.1,omicron BA.1,~70 weeks,NA,NA,USA,USA,278,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,07/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,490,4,180,490,no,sequential period,0
144,278,Tartof,Test-negative case-control,07-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,<6 months,hospitalization,severe,USA,>= 18 years,general pop,56,-2,81,omicron BA.2,omicron BA.2,~70 weeks,NA,NA,USA,USA,278,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,07/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,490,4,NA,180,yes,NA,0
145,278,Tartof,Test-negative case-control,07-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,>=6 months,hospitalization,severe,USA,>= 18 years,general pop,56,28,73,omicron BA.2,omicron BA.2,~70 weeks,NA,NA,USA,USA,278,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,07/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,490,4,180,490,no,sequential period,0
146,299,Risk,Retrospective cohort,16-Aug-22,BNT162b2 (Pfizer BioNTech),included,2,final,14+,hospitalization,severe,USA,>= 18 years,general pop,67,51,78,NA,omicron,~56 weeks,NA,NA,USA,USA,299,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,16/08/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,392,1,14,392,yes,NA,0
147,301,Yan,Case-control,18-Aug-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,severe disease,severe,Hong Kong,18-50 years,18-50 years,73.7,54.2,84.9,NA,omicron BA.2,~52 weeks,NA,NA,Hong Kong,HKG,301,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,18/08/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,364,3,14,364,yes,NA,0
148,301,Yan,Case-control,18-Aug-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,severe disease,severe,Hong Kong,51-64 years,51-64 years,84.5,72.2,91.4,NA,omicron BA.2,~52 weeks,NA,NA,Hong Kong,HKG,301,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,18/08/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,364,3,14,364,yes,NA,0
149,301,Yan,Case-control,18-Aug-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,severe disease,severe,Hong Kong,>= 65 years,>= 65 years,81.9,74.4,87.2,NA,omicron BA.2,~52 weeks,NA,NA,Hong Kong,HKG,301,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,18/08/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,364,3,14,364,yes,NA,1
150,310,Penayo,Test-negative case-control,01-Jun-22,BNT162b2 (Pfizer BioNTech),included,2,final,14+,hospitalization with SARI,severe,Paraguay,>=18 years,general pop,49.5,9.9,71.7,NA,omicron,~53 weeks,NA,NA,Paraguay,PRY,310,PRY,5950,2019,Paraguay,Latin America & Caribbean,Upper middle income,2,South America,23/02/2021,10/12/2021,NA,22/02/2021,22/02/2021,1,76,291,NA,76,Feb-21,60-89,Dec/2021 +,270-359,yes,yes,no,01/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,371,2,14,371,yes,NA,0
151,310,Penayo,Test-negative case-control,01-Jun-22,BNT162b2 (Pfizer BioNTech),included,2,final,14-89,hospitalization with SARI,severe,Paraguay,>=18 years,general pop,78,-97,97.5,NA,omicron,~11 weeks,NA,NA,Paraguay,PRY,310,PRY,5950,2019,Paraguay,Latin America & Caribbean,Upper middle income,2,South America,23/02/2021,10/12/2021,NA,22/02/2021,22/02/2021,1,76,291,NA,76,Feb-21,60-89,Dec/2021 +,270-359,yes,yes,no,01/06/2022,severe,2022 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,77,2,14,89,no,nested endpoint,0
152,316,Collie,Test-negative case-control,14-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,14-27,hospitalization,severe,South Africa,>=18 years,general pop,80.3,62.8,89.5,NA,omicron BA.1 or BA.2,~36 weeks,NA,NA,South Africa,ZAF,316,ZAF,6570,2019,South Africa,Sub-Saharan Africa,Upper middle income,3,Africa,19/02/2021,NA,NA,17/02/2021,17/02/2021,2,71,NA,NA,71,Feb-21,60-89,not reached,not reached,yes,no,no,14/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,252,4,14,27,yes,NA,0
153,316,Collie,Test-negative case-control,14-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,7-8 months,hospitalization,severe,South Africa,>=18 years,general pop,38.4,16.9,54.4,NA,omicron BA.1 or BA.2,~36 weeks,NA,NA,South Africa,ZAF,316,ZAF,6570,2019,South Africa,Sub-Saharan Africa,Upper middle income,3,Africa,19/02/2021,NA,NA,17/02/2021,17/02/2021,2,71,NA,NA,71,Feb-21,60-89,not reached,not reached,yes,no,no,14/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,252,4,210,240,no,sequential period,0
154,316,Collie,Test-negative case-control,14-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,3-4 months,hospitalization,severe,South Africa,>=18 years,general pop,47.4,19.9,65.5,NA,omicron BA.4 or BA.5,~53 weeks,NA,NA,South Africa,ZAF,316,ZAF,6570,2019,South Africa,Sub-Saharan Africa,Upper middle income,3,Africa,19/02/2021,NA,NA,17/02/2021,17/02/2021,2,71,NA,NA,71,Feb-21,60-89,not reached,not reached,yes,no,no,14/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,371,4,90,120,no,sequential period,0
155,316,Collie,Test-negative case-control,14-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,9+ months,hospitalization,severe,South Africa,>=18 years,general pop,19.3,6.3,30.5,NA,omicron BA.4 or BA.5,~53 weeks,NA,NA,South Africa,ZAF,316,ZAF,6570,2019,South Africa,Sub-Saharan Africa,Upper middle income,3,Africa,19/02/2021,NA,NA,17/02/2021,17/02/2021,2,71,NA,NA,71,Feb-21,60-89,not reached,not reached,yes,no,no,14/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,371,4,270,371,no,sequential period,0
156,324,Link-Gelles,Test-negative case-control,05-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,150+,hospitalization,severe,USA,>=18 years,general pop,17,7,27,NA,omicron BA.4 or BA.5,~82 weeks,NA,NA,USA,USA,324,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,05/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,574,1,150,574,yes,NA,0
157,326,Lin,Retrospective cohort,26-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,~47 weeks,hospitalization,severe,USA,>=5 years,general pop,58.8,49.3,66.5,NA,omicron,~47 weeks,NA,Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021,USA,USA,326,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,26/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,329,2,NA,329,yes,NA,0
158,326,Lin,Retrospective cohort,26-Sep-22,BNT162b2 (Pfizer BioNTech),included,2,final,~60 weeks,hospitalization,severe,USA,>=5 years,general pop,29.4,50.4,76.9,NA,omicron,~60 weeks,NA,Persons vaccinated between July 2021 and June 2022. The study includes additional VE estimates for individuals vaccinated between December 2020 and March 2021 and between April 2021 and June 2021,USA,USA,326,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,26/09/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,420,2,NA,420,no,sequential period,0
159,332,Wan,Case-control,17-Oct-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-180,hospitalization,severe,Hong Kong,60-79 years,60-79 years,74.6,72.1,76.8,NA,omicron BA.2,~24 weeks,NA,NA,Hong Kong,HKG,332,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,17/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,168,4,14,168,yes,NA,1
160,332,Wan,Case-control,17-Oct-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-180,severe disease,severe,Hong Kong,60-79 years,60-79 years,77.5,65.7,85.2,NA,omicron BA.2,~24 weeks,NA,NA,Hong Kong,HKG,332,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,17/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,168,4,14,168,no,duplicated endpoint (use hospitalisation),1
161,332,Wan,Case-control,17-Oct-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-180,hospitalization,severe,Hong Kong,>=80 years,>=80 years,81,78.2,83.5,NA,omicron BA.2,~24 weeks,NA,NA,Hong Kong,HKG,332,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,17/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,168,4,14,168,yes,NA,1
162,332,Wan,Case-control,17-Oct-22,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-180,severe disease,severe,Hong Kong,>=80 years,>=80 years,82.7,62.7,92,NA,omicron BA.2,~24 weeks,NA,NA,Hong Kong,HKG,332,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,17/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,168,4,14,168,no,duplicated endpoint (use hospitalisation),1
163,341,Tartof,Test-negative case-control,25-Oct-22,BNT162b2 (Pfizer BioNTech),included,2,final,>=6 months,hospitalization for ARI,severe,USA,>=18 years,general pop,-4,-118,50,omicron BA.4/BA.5,omicron BA.4/BA.5,~84 weeks,NA,NA,USA,USA,341,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,25/10/2022,severe,2022 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,588,1,180,588,yes,NA,0
164,392,Yan,Case-control,03-May-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-30,hospitalization,severe,Hong Kong,>=18 years,general pop,73,69.2,76.3,NA,omicron BA.2,~32 weeks,NA,NA,Hong Kong,HKG,392,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,03/05/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,224,4,14,30,yes,NA,0
165,392,Yan,Case-control,03-May-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,211-240,hospitalization,severe,Hong Kong,>=18 years,general pop,46.6,40.7,51.8,NA,omicron BA.2,~32 weeks,NA,NA,Hong Kong,HKG,392,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,03/05/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,224,4,211,224,no,sequential period,0
166,392,Yan,Case-control,03-May-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,14-30,severe disease,severe,Hong Kong,>=18 years,general pop,69.7,50,81.6,NA,omicron BA.2,~32 weeks,NA,NA,Hong Kong,HKG,392,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,03/05/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,224,4,14,30,no,duplicated endpoint (use hospitalisation),0
167,392,Yan,Case-control,03-May-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,211-240,severe disease,severe,Hong Kong,>=18 years,general pop,71.8,47.2,84.9,NA,omicron BA.2,~32 weeks,NA,NA,Hong Kong,HKG,392,HKG,50480,2019,"Hong Kong SAR, China",East Asia & Pacific,High income,4,Asia,23/02/2021,19/08/2021,04/03/2022,NA,23/02/2021,NA,77,177,374,77,Feb-21,60-89,Jun-Aug/2021,<180,yes,yes,yes,03/05/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,224,4,211,224,no,duplicated endpoint (use hospitalisation),0
168,418,Paternina-Caicedo,Test-negative case-control,09-Sep-23,BNT162b2 (Pfizer BioNTech),excluded,2,final,14+,hospitalization,severe,Colombia,>=5 years,general pop,45,1,70,NA,omicron BA.1,~47 weeks,NA,NA,Colombia,COL,418,COL,6630,2019,Colombia,Latin America & Caribbean,Upper middle income,3,South America,18/02/2021,26/10/2021,29/07/2022,17/02/2021,17/02/2021,1,71,251,527,71,Feb-21,60-89,Sep-Nov/2021,180-269,yes,yes,no,09/09/2023,severe,2023 (Jul-Dec),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,329,1,14,329,yes,NA,0
169,240,Cerqueira-Silva,Test-negative case-control,11-Jan-23,BNT162b2 (Pfizer BioNTech),included,2,final,14-59,severe disease,severe,Scotland,>= 18 years,general pop,90.4,30.4,98.7,NA,omicron,~7 weeks,NA,NA,UK,GBR,500,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,11/01/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,49,2,14,59,yes,NA,0
170,240,Cerqueira-Silva,Test-negative case-control,11-Jan-23,BNT162b2 (Pfizer BioNTech),included,2,final,150+,severe disease,severe,Scotland,>= 18 years,general pop,72.9,57.9,82.5,NA,omicron,~38.5 weeks,NA,NA,UK,GBR,500,GBR,43240,2019,United Kingdom,Europe & Central Asia,High income,4,Europe,10/01/2021,04/06/2021,23/12/2021,21/12/2020,21/12/2020,20,13,165,367,13,before jan/2021,<30,Jun-Aug/2021,<180,yes,yes,yes,11/01/2023,severe,2023 (Jan-Jun),BioNTech/Pfizer BNT162b2,mRNA,omicron,yes,NA,269.5,2,150,269.5,no,sequential period,0
171,159,Tseng,Test-negative case-control,21-Feb-22,mRNA-1273 (Moderna),included,2,final,14+,Hospitalization,severe,USA,>= 18 years,general pop,84.5,23,96.9,omicron,omicron,~47.5 weeks,NA,NA,USA,USA,159,USA,66220,2019,United States,North America,High income,4,North America,13/12/2020,14/05/2021,NA,14/12/2020,13/12/2020,-1,5,152,NA,5,before jan/2021,<30,before Jun/2021,<180,yes,yes,no,21/02/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,omicron,yes,NA,332.5,1,14,332.5,yes,NA,0
172,179,Chemaitelly,Test-negative case-control,02-Jun-22,mRNA-1273 (Moderna),included,2,final,1-6 months,"severe, critical or fatal disease",severe,Qatar,>= 18 years,general pop,87.1,40.2,97.2,omicron,omicron,~58 weeks,NA,NA,Qatar,QAT,179,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,02/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,omicron,yes,NA,406,2,30,180,yes,NA,0
173,179,Chemaitelly,Test-negative case-control,02-Jun-22,mRNA-1273 (Moderna),included,2,final,>=7 months,"severe, critical or fatal disease",severe,Qatar,>= 18 years,general pop,68.4,46.1,81.5,omicron,omicron,~58 weeks,NA,NA,Qatar,QAT,179,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,02/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,omicron,yes,NA,406,2,210,406,no,sequential period,0
174,194,Smid,Retrospective cohort,15-Oct-22,mRNA-1273 (Moderna),included,2,final,14-74,hospitalization,severe,Czech Republic,all ages,general pop,51,-20,80,NA,omicron,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,omicron,yes,NA,378,2,14,74,yes,NA,0
175,194,Smid,Retrospective cohort,15-Oct-22,mRNA-1273 (Moderna),included,2,final,135+,hospitalization,severe,Czech Republic,all ages,general pop,31,9,49,NA,omicron,~54 weeks,NA,NA,Czech Republic,CZE,194,CZE,22100,2019,Czechia,Europe & Central Asia,High income,3,Europe,27/12/2020,16/07/2021,NA,23/12/2020,23/12/2020,4,15,205,NA,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,no,15/10/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,omicron,yes,NA,378,2,135,378,no,sequential period,0
176,203,Baum,Retrospective cohort,05-Nov-22,mRNA-1273 (Moderna),excluded,2,final,14-90,hospitalization,severe,Finland,>= 70 years,>= 70 years,79,43,92,NA,omicron,~56 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,omicron,yes,NA,392,2,14,90,yes,NA,1
177,203,Baum,Retrospective cohort,05-Nov-22,mRNA-1273 (Moderna),excluded,2,final,181+,hospitalization,severe,Finland,>= 70 years,>= 70 years,60,34,75,NA,omicron,~56 weeks,NA,NA,Finland,FIN,203,FIN,49950,2019,Finland,Europe & Central Asia,High income,4,Europe,17/01/2021,15/08/2021,31/10/2021,23/12/2020,23/12/2020,25,15,235,312,15,before jan/2021,<30,Jun-Aug/2021,180-269,yes,yes,yes,05/11/2022,severe,2022 (Jul-Dec),Moderna mRNA-1273,mRNA,omicron,yes,NA,392,2,181,392,no,sequential period,1
178,207,Altarawneh,Test-negative case-control,15-Jun-22,mRNA-1273 (Moderna),excluded,2,final,14+,hospitalization or death,severe,Qatar,>= 18 years,general pop,88.8,-1.7,98.8,omicron BA.1,omicron BA.1,44 weeks,NA,NA,Qatar,QAT,207,QAT,65700,2019,Qatar,Middle East & North Africa,High income,4,Asia,28/01/2021,31/05/2021,16/08/2021,NA,28/01/2021,NA,51,123,200,51,Jan-21,30-59,before Jun/2021,<180,yes,yes,yes,15/06/2022,severe,2022 (Jan-Jun),Moderna mRNA-1273,mRNA,omicron,yes,NA,308,3,14,308,no,nested endpoint,0
